Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
18/12/2011;556;Man United;0;0;2;A;
18/12/2011;589;Sunderland;0;1;0;H;
20/12/2011;502;Bolton;0;1;2;A;
20/12/2011;565;Norwich;0;2;2;D;
21/12/2011;494;Arsenal;0;1;2;A;
21/12/2011;12273;Swansea;0;1;0;H;
21/12/2011;556;Man United;0;0;5;A;
21/12/2011;0;Stoke;0;3;0;H;
21/12/2011;597;West Brom;0;2;3;A;
21/12/2011;589;Sunderland;0;2;3;A;
21/12/2011;550;Liverpool;0;0;0;D;
22/12/2011;519;Chelsea;0;1;1;D;
26/12/2011;562;Newcastle;0;0;2;A;
26/12/2011;535;Fulham;0;1;1;D;
26/12/2011;500;Blackburn;0;1;1;D;
26/12/2011;599;Wigan;0;5;0;H;
26/12/2011;495;Aston Villa;0;0;0;D;
26/12/2011;8560;Everton;0;1;1;D;
26/12/2011;555;Man City;0;0;0;D;
27/12/2011;600;Wolves;0;1;1;D;
27/12/2011;593;Tottenham;0;0;2;A;
27/12/2011;18619;QPR;0;1;1;D;
30/12/2011;562;Newcastle;0;3;1;H;
31/12/2011;18619;QPR;0;1;0;H;
31/12/2011;600;Wolves;0;1;1;D;
31/12/2011;495;Aston Villa;0;1;3;A;
31/12/2011;500;Blackburn;0;2;3;A;
31/12/2011;535;Fulham;0;1;1;D;
31/12/2011;599;Wigan;0;2;2;D;
31/12/2011;593;Tottenham;0;1;1;D;
01/01/2012;555;Man City;0;1;0;H;
01/01/2012;8560;Everton;0;0;1;A;
02/01/2012;12273;Swansea;0;0;2;A;
02/01/2012;0;Stoke;0;1;2;A;
02/01/2012;494;Arsenal;0;2;1;H;
02/01/2012;565;Norwich;0;1;2;A;
02/01/2012;519;Chelsea;0;1;2;A;
03/01/2012;550;Liverpool;0;3;0;H;
03/01/2012;597;West Brom;0;1;0;H;
03/01/2012;589;Sunderland;0;1;4;A;
04/01/2012;502;Bolton;0;1;2;A;
