Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
01/01/2011;54;Birmingham;42;Arsenal;0;3;A;5.5;3.6;1.67;1.91;1.86;39;
01/01/2011;40;Liverpool;68;Bolton;2;1;H;1.7;3.75;5;1.97;1.8;39;
01/01/2011;50;Man City;1356;Blackpool;1;0;H;1.29;5.5;10;2.18;1.66;39;
01/01/2011;75;Stoke;45;Everton;2;0;H;2.63;3.2;2.75;2.24;1.62;39;
01/01/2011;746;Sunderland;67;Blackburn;3;0;H;1.83;3.5;4.5;2.12;1.7;39;
01/01/2011;47;Tottenham;36;Fulham;1;0;H;1.4;4.5;8.5;1.81;1.99;39;
01/01/2011;60;West Brom;33;Man United;1;2;A;6;4.2;1.53;1.75;2.06;39;
01/01/2011;48;West Ham;39;Wolves;2;0;H;2;3.4;3.8;2.04;1.75;39;
02/01/2011;49;Chelsea;66;Aston Villa;3;3;D;1.25;5.5;13;1.61;2.26;39;
02/01/2011;61;Wigan;34;Newcastle;0;1;A;2.5;3.2;2.9;2.07;1.73;39;
04/01/2011;1356;Blackpool;54;Birmingham;1;2;A;2.3;3.25;3.25;1.95;1.83;39;
04/01/2011;36;Fulham;60;West Brom;3;0;H;2.2;3.25;3.4;2.14;1.67;39;
04/01/2011;33;Man United;75;Stoke;2;1;H;1.25;5.75;12;1.59;2.26;39;
05/01/2011;42;Arsenal;50;Man City;0;0;D;1.91;3.6;4;1.79;1.99;39;
05/01/2011;66;Aston Villa;746;Sunderland;0;1;A;2.2;3.25;3.4;2;1.79;39;
05/01/2011;67;Blackburn;40;Liverpool;3;1;H;3.4;3.25;2.2;2.04;1.75;39;
05/01/2011;68;Bolton;61;Wigan;1;1;D;1.73;3.6;5;1.88;1.91;39;
05/01/2011;45;Everton;47;Tottenham;2;1;H;2.63;3.25;2.75;1.99;1.79;39;
05/01/2011;34;Newcastle;48;West Ham;5;0;H;1.83;3.6;4.33;1.93;1.85;39;
05/01/2011;39;Wolves;49;Chelsea;1;0;H;8;4.2;1.44;1.71;2.09;39;
12/01/2011;1356;Blackpool;40;Liverpool;2;1;H;3.8;3.75;1.91;1.73;2.07;39;
15/01/2011;49;Chelsea;67;Blackburn;2;0;H;1.29;5.5;11;1.59;2.27;39;
15/01/2011;50;Man City;39;Wolves;4;3;H;1.33;5;10;1.68;2.12;39;
15/01/2011;75;Stoke;68;Bolton;2;0;H;2.1;3.25;3.75;2.16;1.67;39;
15/01/2011;60;West Brom;1356;Blackpool;3;2;H;1.8;3.6;4.5;1.61;2.24;39;
15/01/2011;48;West Ham;42;Arsenal;0;3;A;6;4;1.57;1.76;2.03;39;
15/01/2011;61;Wigan;36;Fulham;1;1;D;2.5;3.25;2.88;2.25;1.62;39;
16/01/2011;54;Birmingham;66;Aston Villa;1;1;D;2.4;3.2;3.1;2.11;1.7;39;
16/01/2011;40;Liverpool;45;Everton;2;2;D;2.2;3.2;3.5;2.12;1.7;39;
16/01/2011;746;Sunderland;34;Newcastle;1;1;D;2.2;3.25;3.4;2.06;1.74;39;
16/01/2011;47;Tottenham;33;Man United;0;0;D;2.88;3.3;2.5;1.92;1.87;39;
22/01/2011;42;Arsenal;61;Wigan;3;0;H;1.2;6.5;15;1.51;2.42;39;
22/01/2011;66;Aston Villa;50;Man City;1;0;H;3.5;3.4;2.1;1.93;1.84;39;
22/01/2011;1356;Blackpool;746;Sunderland;1;2;A;2.5;3.25;2.88;1.82;1.94;39;
22/01/2011;45;Everton;48;West Ham;2;2;D;1.5;4;7.5;1.87;1.89;39;
22/01/2011;36;Fulham;75;Stoke;2;0;H;2.2;3.2;3.5;2.26;1.59;39;
22/01/2011;33;Man United;54;Birmingham;5;0;H;1.2;6.5;15;1.63;2.18;39;
22/01/2011;34;Newcastle;47;Tottenham;1;1;D;3.5;3.4;2.1;1.82;1.95;39;
22/01/2011;39;Wolves;40;Liverpool;0;3;A;3.4;3.2;2.25;2.08;1.71;39;
23/01/2011;67;Blackburn;60;West Brom;2;0;H;2.25;3.3;3.25;1.83;1.94;39;
24/01/2011;68;Bolton;49;Chelsea;0;4;A;6;3.75;1.62;1.86;1.9;39;
25/01/2011;1356;Blackpool;33;Man United;2;3;A;8;5;1.36;1.53;2.41;39;
25/01/2011;61;Wigan;66;Aston Villa;1;2;A;3.2;3.25;2.3;2.04;1.74;39;
26/01/2011;40;Liverpool;36;Fulham;1;0;H;1.53;3.8;7;2.01;1.76;39;
01/02/2011;42;Arsenal;45;Everton;2;1;H;1.4;4.5;8.5;1.77;2.01;39;
01/02/2011;33;Man United;66;Aston Villa;3;1;H;1.33;5;9.5;1.61;2.22;39;
01/02/2011;746;Sunderland;49;Chelsea;2;4;A;5.5;3.6;1.67;1.99;1.79;39;
01/02/2011;60;West Brom;61;Wigan;2;2;D;1.73;3.6;5;1.8;1.97;39;
02/02/2011;54;Birmingham;50;Man City;2;2;D;4.5;3.5;1.83;2;1.77;39;
02/02/2011;67;Blackburn;47;Tottenham;0;1;A;3.25;3.4;2.2;1.94;1.83;39;
02/02/2011;1356;Blackpool;48;West Ham;1;3;A;2.38;3.3;3;1.72;2.07;39;
02/02/2011;68;Bolton;39;Wolves;1;0;H;1.83;3.5;4.5;1.93;1.84;39;
02/02/2011;36;Fulham;34;Newcastle;1;0;H;2.1;3.3;3.6;2.14;1.67;39;
02/02/2011;40;Liverpool;75;Stoke;2;0;H;1.62;3.75;6;2.06;1.72;39;
05/02/2011;66;Aston Villa;36;Fulham;2;2;D;1.91;3.4;4.2;2.12;1.68;39;
05/02/2011;45;Everton;1356;Blackpool;5;3;H;1.44;4.5;7;1.6;2.25;39;
05/02/2011;50;Man City;60;West Brom;3;0;H;1.4;4.5;8.5;1.62;2.2;39;
05/02/2011;34;Newcastle;42;Arsenal;4;4;D;5;4;1.67;1.79;1.98;39;
05/02/2011;75;Stoke;746;Sunderland;3;2;H;2.1;3.2;3.75;2.26;1.6;39;
