Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
14/02/2021;597;West Brom;556;Man United;1;1;
14/02/2021;494;Arsenal;0;Leeds;4;2;
14/02/2021;8560;Everton;535;Fulham;0;2;
15/02/2021;598;West Ham;0;Sheffield United;3;0;
15/02/2021;519;Chelsea;562;Newcastle;2;0;
17/02/2021;0;Burnley;535;Fulham;1;1;
17/02/2021;8560;Everton;555;Man City;1;3;
19/02/2021;600;Wolves;0;Leeds;1;0;
20/02/2021;0;Southampton;519;Chelsea;1;1;
20/02/2021;0;Burnley;597;West Brom;0;0;
20/02/2021;550;Liverpool;8560;Everton;0;2;
20/02/2021;535;Fulham;0;Sheffield United;1;0;
21/02/2021;598;West Ham;593;Tottenham;2;1;
21/02/2021;495;Aston Villa;0;Leicester;1;2;
21/02/2021;494;Arsenal;555;Man City;0;1;
21/02/2021;556;Man United;562;Newcastle;3;1;
22/02/2021;0;Brighton;0;Crystal Palace;1;2;
23/02/2021;0;Leeds;0;Southampton;3;0;
27/02/2021;555;Man City;598;West Ham;2;1;
27/02/2021;597;West Brom;0;Brighton;1;0;
27/02/2021;0;Leeds;495;Aston Villa;0;1;
27/02/2021;562;Newcastle;600;Wolves;1;1;
28/02/2021;0;Crystal Palace;535;Fulham;0;0;
28/02/2021;0;Leicester;494;Arsenal;1;3;
28/02/2021;593;Tottenham;0;Burnley;4;0;
28/02/2021;519;Chelsea;556;Man United;0;0;
28/02/2021;0;Sheffield United;550;Liverpool;0;2;
01/03/2021;8560;Everton;0;Southampton;1;0;
02/03/2021;555;Man City;600;Wolves;4;1;
03/03/2021;0;Burnley;0;Leicester;1;1;
03/03/2021;0;Sheffield United;495;Aston Villa;1;0;
03/03/2021;0;Crystal Palace;556;Man United;0;0;
04/03/2021;535;Fulham;593;Tottenham;0;1;
04/03/2021;597;West Brom;8560;Everton;0;1;
04/03/2021;550;Liverpool;519;Chelsea;0;1;
06/03/2021;0;Burnley;494;Arsenal;1;1;
06/03/2021;0;Sheffield United;0;Southampton;0;2;
06/03/2021;495;Aston Villa;600;Wolves;0;0;
06/03/2021;0;Brighton;0;Leicester;1;2;
07/03/2021;597;West Brom;562;Newcastle;0;0;
07/03/2021;550;Liverpool;535;Fulham;0;1;
07/03/2021;555;Man City;556;Man United;0;2;
07/03/2021;593;Tottenham;0;Crystal Palace;4;1;
08/03/2021;519;Chelsea;8560;Everton;2;0;
08/03/2021;598;West Ham;0;Leeds;2;0;
10/03/2021;555;Man City;0;Southampton;5;2;
12/03/2021;562;Newcastle;495;Aston Villa;1;1;
13/03/2021;0;Leeds;519;Chelsea;0;0;
13/03/2021;0;Crystal Palace;597;West Brom;1;0;
13/03/2021;8560;Everton;0;Burnley;1;2;
13/03/2021;535;Fulham;555;Man City;0;3;
14/03/2021;0;Southampton;0;Brighton;1;2;
